рр.	S@МН@ЖЕН@ИМ@НЕОД,S@МН@ЖЕН@ВИН@НЕОД,S@МН@ЖЕН@РОД@НЕОД,S@МН@ЖЕН@ДАТ@НЕОД,S@МН@ЖЕН@ПР@НЕОД,S@МН@ЖЕН@ТВОР@НЕОД
абс.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
авт.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
автомоб.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
агр.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
акад.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
алгебр.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
альп.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
алюм.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
анат.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД
анс.	S@ЕД@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@ПР@НЕОД,S@МН@МУЖ@РОД@НЕОД,S@ЕД@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ВИН@НЕОД,S@ЕД@МУЖ@МЕСТН@НЕОД,S@МН@МУЖ@ИМ@НЕОД,S@МН@МУЖ@ТВОР@НЕОД,S@МН@МУЖ@ПР@НЕОД,S@МН@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ИМ@НЕОД,S@ЕД@МУЖ@ДАТ@НЕОД,S@ЕД@МУЖ@ПАРТ@НЕОД,S@МН@МУЖ@НЕОД@ИМ,S@МУЖ@НЕОД@РОД@МН,S@МУЖ@НЕОД@ПР@МН,S@ЕД@РОД@МУЖ@НЕОД,S@МН@МУЖ@МЕСТН@НЕОД,S@ЕД@ИМ@МУЖ@НЕОД
арт.	A@МН@ИМ,A@МН@РОД,A@МН@ДАТ,A@МН@ТВОР,A@МН@ПР,A@ИМ@МН,A@ЕД@МУЖ@ТВОР,A@ЕД@ЖЕН@ИМ,A@ЕД@ЖЕН@РОД,A@ЕД@МУЖ@РОД,A@ЕД@МУЖ@ИМ,A@МН@ВИН@НЕОД,A@ЕД@ЖЕН@ВИН,A@ЕД@ЖЕН@ТВОР,A@ЕД@МУЖ@ПР,A@ЕД@СРЕД@ВИН,A@ЕД@СРЕД@ТВОР,A@ЕД@СРЕД@РОД,A@ЕД@ЖЕН@ПР,A@ЕД@СРЕД@ПР,A@ЕД@СРЕД@ИМ,A@ЕД@МУЖ@ДАТ,A@МН@ВИН@ОД,A@ЕД@СРЕД@ДАТ,A@ЕД@ЖЕН@ДАТ,A@МН@ИМ@ОД,A@ЕД@МУЖ@ВИН@НЕОД,A@ЕД@МУЖ@ВИН@ОД,S@ЕД@МУЖ@ВИН@ОД,S@ЕД@МУЖ@РОД@ОД,S@ЕД@МУЖ@ИМ@ОД,S@ЕД@МУЖ@ДАТ@ОД,S@МН@МУЖ@ИМ@ОД,S@ЕД@МУЖ@ТВОР@ОД,S@МН@МУЖ@РОД@ОД,S@ЕД@МУЖ@ПР@ОД,S@МН@МУЖ@ТВОР@ОД,S@МН@МУЖ@ВИН@ОД,S@МН@МУЖ@ДАТ@ОД,S@МН@МУЖ@ПР@ОД,S@ЕД@МУЖ@ЗВ@ОД,S@ЕД@ДАТ@МУЖ@ОД
