_______,_______
имя существительное, S
местоимение-существительное, S@ОД
неодушевлённое, НЕОД
мужской род, МУЖ
единственное число, ЕД
родительный падеж, РОД
женский род, ЖЕН
именительный падеж, ИМ
множественное число, МН
винительный падеж, ВИН
существительное, СУЩ
3 лицо, 3-Л
средний род, СРЕД
имя прилагательное (полное), A
имя прилагательное (краткое), A@КР
дательный падеж, ДАТ
предложный падеж, ПР
творительный падеж, ТВОР
глагол (личная форма), V
несовершенный вид, НЕСОВ
настоящее время, НЕПРОШ
изъявительное наклонение, ИЗЪЯВ
одушевлённое, ОД
совершенный вид, СОВ
будущее время, НЕПРОШ
числительное, NUM
наречие, ADV
повелительное наклонение, ПОВ
говорящий включён в действие, 1-Л
говорящий не включён в действие, 2-Л
прошедшее время, ПРОШ
2 лицо, 2-Л
1 лицо, 1-Л
(краткое), КР
второй предложный (местный) падеж, МЕСТН
глагол (инфинитив), V@ИНФ
частица, PART
союз, CONJ
причастие (полное), V@ПРИЧ
причастие (краткое), V@ПРИЧ@КР
междометие, INTJ
деепричастие, V@ДЕЕПР
предлог, PR
звательный падеж, ЗВ
компаратив, ADV@СРАВ
предикатив, ADV
сравнительная степень на по-, СМЯГ
второй родительный (частичный) падеж, ПАРТ
первый родительный падеж, РОД
первый предложный падеж, ПР
